,lat,lon,speed,lon_acc,lat_acc,time,dist_to_start,dist_to_end,veh_id,segment_id,temp_distance,one_axis_trajectory,closest_traffic_light,distance_to_traffic_light,normalized_trajectory,closest_cell
9932,37.977749,23.737391,39.0095,0.6314,-0.0787,58.8,298.53136338747373,181.06879384943215,44.0,9.0,0.5218611908992016,2642434.2788808346,3,32.523583151887564,489.0667493857257,cell_3
9933,37.977746,23.737394,39.0999,0.6239,-0.0808,58.84,298.9544908069276,180.70781819289937,44.0,9.0,0.468204586532702,2642434.612839307,3,32.9448647039809,489.78490907690804,cell_3
9934,37.977743,23.737396,39.1889,0.6117,-0.083,58.88,299.32959537949483,180.35681141658003,44.0,9.0,0.5014656901058356,2642434.835478289,3,33.32074175851961,490.2636822046967,cell_3
9935,37.977739,23.737399,39.2757,0.5947,-0.0853,58.92,299.84574482354293,179.88575952549724,44.0,9.0,0.5168412570045323,2642435.169436761,3,33.837056178079195,490.9818418948776,cell_3
9936,37.977736,23.737402,39.3603,0.58,-0.0877,58.96,300.26886945016247,179.52549832864628,44.0,9.0,0.4631846512248653,2642435.503395234,3,34.25838218874494,491.7000015860599,cell_3
9937,37.977733,23.737405,39.4428,0.5658,-0.09,59.0,300.691998691167,179.16551973948572,44.0,9.0,0.4095280458000436,2642435.837353706,3,34.67979004915742,492.4181612762409,cell_3
9938,37.977729,23.737407,39.5221,0.5356,-0.0924,59.04,301.1601279977986,178.7045636786343,44.0,9.0,0.5118213231112441,2642436.059992688,3,35.15055286386798,492.89693440402954,cell_4
9939,37.977726,23.73741,39.596,0.4905,-0.0947,59.08,301.58324985372224,178.34503012399725,44.0,9.0,0.4581647162704932,2642436.39395116,3,35.57191977377257,493.61509409421046,cell_4
9940,37.977723,23.737413,39.6628,0.4378,-0.0971,59.12,302.0063763117931,177.98578399306052,44.0,9.0,0.404508110492207,2642436.7279096325,3,35.99336458897551,494.33325378539274,cell_4
9941,37.977719,23.737415,39.7223,0.3876,-0.0994,59.16,302.474512887414,177.52524300870192,44.0,9.0,0.5068013874506334,2642436.950548614,3,36.46407065864883,494.81202691218004,cell_4
9942,37.977716,23.737418,39.7754,0.3504,-0.1016,59.2,302.89763199469303,177.16645059395557,44.0,9.0,0.4531447816702759,2642437.2845070865,3,36.88547531512855,495.5301866033623,cell_4
9943,37.977713,23.737421,39.824,0.324,-0.1038,59.24,303.3207556917563,176.8079505288697,44.0,9.0,0.3994881751864416,2642437.618465559,3,37.30695427941512,496.24834629454466,cell_4
9944,37.977709,23.737424,39.8688,0.2983,-0.1059,59.28,303.8369047522635,176.33910014433977,44.0,9.0,0.4148637431448412,2642437.952424031,3,37.82324803635692,496.9665059847256,cell_4
9945,37.977706,23.737426,39.91,0.2738,-0.1074,59.32,304.21201585235866,175.98979768269487,44.0,9.0,0.4481248467165943,2642438.1750630126,3,38.199046964954114,497.4452791115129,cell_4
9946,37.977703,23.737429,39.9478,0.2523,-0.1083,59.36,304.6351368100866,175.63205761807677,44.0,9.0,0.3944682405841531,2642438.5090214848,3,38.620557583895746,498.1634388016938,cell_4
9947,37.977699,23.737432,39.9828,0.2338,-0.1086,59.4,305.1512876415647,175.16393589860965,44.0,9.0,0.4098438088967077,2642438.8429799573,3,39.13684780311604,498.8815984928761,cell_4
9948,37.977696,23.737435,40.016,0.2266,-0.1083,59.44,305.5744102751412,174.80678215365597,44.0,9.0,0.3561872017080156,2642439.17693843,3,39.5584184793678,499.5997581840584,cell_4
9949,37.977692,23.737437,40.0487,0.2272,-0.1073,59.48,306.04255685897476,174.3474417403021,44.0,9.0,0.4584804804289314,2642439.3995774114,3,40.028927896716915,500.0785313108457,cell_4
9950,37.977689,23.73744,40.0815,0.2285,-0.1057,59.52,306.46567222999744,173.99076661176963,44.0,9.0,0.4048238739444067,2642439.733535884,3,40.45045991867995,500.796691002028,cell_4
9951,37.977686,23.737443,40.1139,0.2224,-0.1035,59.56,306.8887921481299,173.63439790097416,44.0,9.0,0.3511672685209655,2642440.067494356,3,40.872057143776594,501.51485069220894,cell_5
9952,37.977682,23.737446,40.145,0.2089,-0.1006,59.6,307.4049436961669,173.16759451590602,44.0,9.0,0.3665428364793652,2642440.401452828,3,41.38833647956948,502.23301038238986,cell_5
9953,37.977679,23.737448,40.1742,0.1963,-0.0971,59.64,307.7800584949642,172.81963291436193,44.0,9.0,0.3998039389900345,2642440.62409181,3,41.764083222395385,502.7117835101785,cell_5
9954,37.977676,23.737451,40.2021,0.1914,-0.0929,59.68,308.2031757189082,172.46406411170466,44.0,9.0,0.346147332860355,2642440.958050282,3,42.185705232924725,503.42994320035945,cell_5
9955,37.977672,23.737454,40.2298,0.1942,-0.0881,59.72,308.71932900475,171.9980318859108,44.0,9.0,0.3615229004645998,2642441.292008755,3,42.701981233445856,504.1481028915417,cell_5
9956,37.977669,23.737457,40.2575,0.1896,-0.0827,59.76,309.14244789858327,171.64307948429004,44.0,9.0,0.3078662953960039,2642441.6259672274,4,42.422378674488165,504.8662625827241,cell_5
9957,37.977665,23.737459,40.2839,0.1775,-0.0766,59.8,309.61060425474244,171.1850251732419,44.0,9.0,0.4101595716412879,2642441.8486062093,4,41.98550400125377,505.3450357105128,cell_5
9958,37.977662,23.737462,40.3087,0.1663,-0.0698,59.84,310.0337159726928,170.83057801039746,44.0,9.0,0.356502965510918,2642442.1825646814,4,41.56417156991534,506.0631954006937,cell_5
9959,37.977659,23.737465,40.3324,0.1628,-0.0625,59.88,310.45683219566615,170.47645223555818,44.0,9.0,0.3028463593812385,2642442.5165231535,4,41.14290799022481,506.78135509087457,cell_5
9960,37.977655,23.737468,40.3561,0.1671,-0.0545,59.92,310.97298617134703,170.0118149127142,44.0,9.0,0.318221927693793,2642442.850481626,4,40.64434195728246,507.4995147820569,cell_5
9961,37.977652,23.737471,40.3799,0.1639,-0.0458,59.96,311.39610405585256,169.65832566220138,44.0,9.0,0.26456532121272,2642443.1844400982,4,40.22333139141888,508.2176744722379,cell_5
9962,37.977649,23.737473,40.4028,0.1533,-0.0365,60.0,311.7712181535728,169.31199315859573,44.0,9.0,0.2978264240761634,2642443.40707908,4,39.86566970093833,508.69644760002654,cell_5
9963,37.977645,23.737476,40.4242,0.1436,-0.0266,60.04,312.28737383240355,168.84817256369234,44.0,9.0,0.3132019923880275,2642443.741037552,4,39.36815217448757,509.41460728920606,cell_5
9964,37.977642,23.737479,40.4447,0.1416,-0.016,60.08,312.71048906899193,168.49553779302656,44.0,9.0,0.2595453862590383,2642444.074996025,4,38.947592845281534,510.13276698138975,cell_6
9965,37.977638,23.737482,40.4655,0.1473,-0.0048,60.12,313.22664372467074,168.03234682676015,44.0,9.0,0.2749209542167475,2642444.4089544974,4,38.45078140249732,510.85092667257203,cell_6
9966,37.977635,23.737485,40.4871,0.1527,0.007,60.16,313.6497606145043,167.68036954718426,44.0,9.0,0.2212643487967583,2642444.7429129696,4,38.03053390090968,511.56908636275296,cell_6
9967,37.977632,23.737487,40.5089,0.1507,0.0195,60.2,314.0248757261556,167.33499716156854,44.0,9.0,0.254525451306047,2642444.965551951,4,37.67446969692715,512.0478594895403,cell_6
9968,37.977628,23.73749,40.5298,0.1388,0.0325,60.24,314.5410320692123,166.87265356235963,44.0,9.0,0.2699010196172206,2642445.2995104236,4,37.17888377543726,512.7660191807225,cell_6
9969,37.977625,23.737493,40.5487,0.1239,0.0462,60.28,314.96414633369477,166.52155980543446,44.0,9.0,0.216244412784064,2642445.6334688957,4,36.75918994184576,513.4841788709035,cell_6
9970,37.977621,23.737496,40.5653,0.106,0.0605,60.32,315.4803016597499,166.0598689789326,44.0,9.0,0.2316199810952377,2642445.9674273683,4,36.26443980132276,514.2023385620857,cell_6
9971,37.977618,23.737499,40.5792,0.0882,0.0753,60.36,315.90341756925994,165.70945456394182,44.0,9.0,0.177963376028713,2642446.301385841,4,35.84513323101788,514.9204982532681,cell_6
9972,37.977615,23.737502,40.5906,0.0701,0.0902,60.4,316.32653788933686,165.35938867307564,44.0,9.0,0.1243067691990082,2642446.635344313,4,35.425954697133726,515.6386579434491,cell_6
9973,37.977611,23.737504,40.5987,0.0416,0.1051,60.44,316.79469067837357,164.90426850750026,44.0,9.0,0.2266000464950204,2642446.857983295,4,34.99763334157935,516.1174310712378,cell_6
9974,37.977608,23.737507,40.6019,0.0032,0.12,60.48,317.21780398539227,164.55476790502496,44.0,9.0,0.1729434403694831,2642447.191941767,4,34.57901169717963,516.8355907614186,cell_6
9975,37.977604,23.73751,40.5993,-0.0389,0.1349,60.52,317.73395997175385,164.0946334515015,44.0,9.0,0.1883190079730375,2642447.525900239,4,34.08670629983975,517.5537504515995,cell_6
9976,37.977601,23.737513,40.5909,-0.0783,0.1498,60.56,318.1570749149906,163.7458349692921,44.0,9.0,0.1346624018495713,2642447.8598587117,4,33.66856980744684,518.2719101427818,cell_6
9977,37.977598,23.737516,40.5775,-0.1083,0.1647,60.6,318.58019424029345,163.39739611131765,44.0,10.0,0.0810057964323435,2642448.193817184,4,33.25059919791857,518.9900698329628,cell_1
9978,37.977594,23.737518,40.5604,-0.1289,0.1796,60.64,319.04834965527635,162.94327594393823,44.0,10.0,0.1832990730200461,2642448.4164561657,4,32.82599929922194,519.4688429607515,cell_1
9979,37.977591,23.737521,40.5404,-0.149,0.1942,60.68,319.47146201786154,162.59542287377332,44.0,10.0,0.129642467249354,2642448.7504146383,4,32.40871803872325,520.1870026519338,cell_1
9980,37.977587,23.737524,40.5175,-0.1685,0.2081,60.72,319.98761865598857,162.13690360016238,44.0,10.0,0.1450180355598373,2642449.0843731104,4,31.91934287029164,520.9051623421147,cell_1
9981,37.977584,23.737527,40.492,-0.1854,0.2211,60.76,320.41073264671195,161.7897763992139,44.0,10.0,0.0913614290822162,2642449.418331583,4,31.502675447548103,521.623322033297,cell_1
9982,37.977581,23.73753,40.4643,-0.1996,0.2331,60.8,320.83385099136456,161.44302038060317,44.0,10.0,0.0377048233142855,2642449.752290055,4,31.086224910994712,522.341481723478,cell_1
9983,37.977577,23.737532,40.4352,-0.2042,0.2441,60.84,321.30200899609963,160.9899460178427,44.0,10.0,0.13999810095962,2642449.974929037,4,30.66602472205,522.8202548512666,cell_1
9984,37.977574,23.737535,40.406,-0.2022,0.2542,60.88,321.72512042699964,160.64379720219097,44.0,10.0,0.0863414944833797,2642450.308887509,4,30.2504365571822,523.5384145414475,cell_1
