,inflow,time,link_id
131421,1,57.72,4
131422,1,57.76,4
131423,1,57.8,4
131424,1,57.84,4
131425,1,57.88,4
131426,1,57.92,4
131427,1,57.96,4
131428,1,58.0,4
131429,1,58.04,4
131430,1,58.08,4
131431,1,58.12,4
131432,1,58.16,4
131433,1,58.2,4
132591,1,161.72,4
132592,2,161.76,4
132593,2,161.8,4
132594,2,161.84,4
132595,2,161.88,4
132596,2,161.92,4
132597,2,161.96,4
132598,1,162.0,4
132599,1,162.04,4
132600,1,162.08,4
132601,1,162.12,4
132602,1,162.16,4
132603,1,162.2,4
133561,1,114.6,4
133562,1,114.64,4
133563,1,114.68,4
133564,1,114.72,4
133565,1,114.76,4
133566,1,114.8,4
133567,1,114.84,4
133568,1,114.88,4
133569,1,114.92,4
133570,1,114.96,4
133571,1,115.0,4
133572,1,115.04,4
133573,1,115.08,4
133574,1,115.12,4
133575,1,115.16,4
133576,1,115.2,4
133577,1,115.24,4
133578,1,115.28,4
133579,2,115.32,4
133580,2,115.36,4
133581,2,115.4,4
134724,1,163.2,4
134725,1,163.24,4
134726,1,163.28,4
134727,1,163.32,4
134728,1,163.36,4
134729,1,163.4,4
134730,1,163.44,4
134731,1,163.48,4
134732,1,163.52,4
134733,1,163.56,4
134734,1,163.6,4
134735,1,163.64,4
134736,1,163.68,4
135899,1,159.64,4
135900,1,159.68,4
135901,1,159.72,4
135902,1,159.76,4
135903,1,159.8,4
135904,1,159.84,4
135905,1,159.88,4
135906,1,159.92,4
135907,1,159.96,4
135908,1,160.0,4
135909,1,160.04,4
135910,1,160.08,4
136218,1,85.04,4
136219,1,85.08,4
136220,1,85.12,4
136221,1,85.16,4
136222,1,85.2,4
136223,1,85.24,4
136224,1,85.28,4
136225,1,85.32,4
136226,1,85.36,4
136227,1,85.4,4
136228,1,85.44,4
136229,1,85.48,4
136230,1,85.52,4
136231,1,85.56,4
136232,1,85.6,4
136233,1,85.64,4
136234,1,85.68,4
136235,1,85.72,4
136236,1,85.76,4
136237,1,85.8,4
136238,1,85.84,4
136239,1,85.88,4
136240,1,85.92,4
136241,1,85.96,4
136242,1,86.0,4
136243,1,86.04,4
137756,2,166.48,4
137757,2,166.52,4
137758,2,166.56,4
137759,2,166.6,4
137760,2,166.64,4
137761,2,166.68,4
137762,2,166.72,4
137763,2,166.76,4
137764,2,166.8,4
137765,2,166.84,4
137766,2,166.88,4
137767,2,166.92,4
137768,2,166.96,4
137769,3,167.0,4
137770,3,167.04,4
138819,1,110.4,4
138820,1,110.44,4
138821,1,110.48,4
138822,1,110.52,4
138823,1,110.56,4
138824,1,110.6,4
138825,1,110.64,4
142058,1,158.56,4
142059,1,158.6,4
142060,1,158.64,4
142061,1,158.68,4
142062,1,158.72,4
142063,1,158.76,4
142064,1,158.8,4
142065,1,158.84,4
142066,1,158.88,4
142067,1,158.92,4
142068,1,158.96,4
142069,1,159.0,4
142070,1,159.04,4
142071,1,159.08,4
142072,1,159.12,4
142073,1,159.16,4
143040,3,116.48,4
143041,3,116.52,4
143042,2,116.56,4
143043,2,116.6,4
143044,2,116.64,4
143045,1,116.68,4
143046,1,116.72,4
143047,1,116.76,4
143048,1,116.8,4
143049,1,116.84,4
143050,1,116.88,4
143051,1,116.92,4
143052,1,116.96,4
143053,1,117.0,4
143054,1,117.04,4
143055,1,117.08,4
143056,1,117.12,4
143057,1,117.16,4
143058,1,117.2,4
143059,1,117.24,4
143060,1,117.28,4
143061,1,117.32,4
143062,1,117.36,4
143063,1,117.4,4
143064,1,117.44,4
143065,1,117.48,4
143066,1,117.52,4
143067,1,117.56,4
143068,1,117.6,4
143069,1,117.64,4
144195,1,118.48,4
144196,1,118.52,4
144197,1,118.56,4
144198,1,118.6,4
144199,1,118.64,4
144200,1,118.68,4
144201,1,118.72,4
145636,1,129.44,4
145637,2,129.48,4
145638,2,129.52,4
145639,2,129.56,4
145640,2,129.6,4
145641,2,129.64,4
145642,2,129.68,4
145643,2,129.72,4
145644,2,129.76,4
146085,1,101.6,4
146086,1,101.64,4
146087,1,101.68,4
146088,1,101.72,4
146089,1,101.76,4
146090,1,101.8,4
146091,1,101.84,4
146092,1,101.88,4
146093,1,101.92,4
146094,1,101.96,4
146095,1,102.0,4
146096,1,102.04,4
146097,1,102.08,4
146098,1,102.12,4
146099,1,102.16,4
146100,1,102.2,4
146101,1,102.24,4
146102,1,102.28,4
146103,1,102.32,4
146104,1,102.36,4
