lat,lon,speed,lon_acc,lat_acc,time,veh_id,link_id,link_distance,one_axis_trajectory
37.977355,23.737714,3.0133,-0.4780,0.0495,6.920000,1,4,1.4000000000180535e-05,2642470.235076361
37.977355,23.737715,2.9420,-0.5114,0.0489,6.960000,1,4,1.5000000001208491e-05,2642470.346395852
37.977354,23.737715,2.8650,-0.5589,0.0483,7.000000,1,4,1.5000000001208491e-05,2642470.346395852
37.977354,23.737715,2.7816,-0.5990,0.0476,7.040000,1,4,1.5000000001208491e-05,2642470.346395852
37.977354,23.737715,2.6937,-0.6226,0.0468,7.080000,1,4,1.5000000001208491e-05,2642470.346395852
37.977354,23.737715,2.6035,-0.6297,0.0460,7.120000,1,4,1.5000000001208491e-05,2642470.346395852
37.977354,23.737715,2.5113,-0.6507,0.0450,7.160000,1,4,1.5000000001208491e-05,2642470.346395852
37.977353,23.737716,2.4151,-0.6858,0.0439,7.200000,1,4,1.5999999998683734e-05,2642470.4577153428
37.977353,23.737716,2.3144,-0.7134,0.0426,7.240000,1,4,1.5999999998683734e-05,2642470.4577153428
37.977353,23.737716,2.2103,-0.7313,0.0413,7.280000,1,4,1.5999999998683734e-05,2642470.4577153428
37.977353,23.737716,2.1049,-0.7327,0.0398,7.320000,1,4,1.5999999998683734e-05,2642470.4577153428
37.977353,23.737716,1.9998,-0.7272,0.0383,7.360000,1,4,1.5999999998683734e-05,2642470.4577153428
37.977352,23.737716,1.8952,-0.7258,0.0367,7.400000,1,4,1.5999999998683734e-05,2642470.4577153428
37.977352,23.737716,1.7908,-0.7236,0.0351,7.440000,1,4,1.5999999998683734e-05,2642470.4577153428
37.977352,23.737717,1.6872,-0.7160,0.0333,7.480000,1,4,1.699999999971169e-05,2642470.5690348335
37.977352,23.737717,1.5833,-0.7270,0.0316,7.520000,1,4,1.699999999971169e-05,2642470.5690348335
37.977352,23.737717,1.4829,-0.6960,0.0299,7.560000,1,4,1.699999999971169e-05,2642470.5690348335
37.977352,23.737717,1.3868,-0.6678,0.0281,7.600000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,1.2944,-0.6444,0.0264,7.640000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,1.2049,-0.6281,0.0246,7.680000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,1.1169,-0.6234,0.0229,7.720000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,1.0293,-0.6153,0.0213,7.760000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.9429,-0.6068,0.0196,7.800000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.8581,-0.5930,0.0180,7.840000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.7757,-0.5742,0.0166,7.880000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.6964,-0.5501,0.0158,7.920000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.6204,-0.5286,0.0143,7.960000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.5473,-0.5110,0.0131,8.000000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.4773,-0.4863,0.0117,8.040000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.4112,-0.4562,0.0103,8.080000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.3498,-0.4208,0.0090,8.120000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.2933,-0.3892,0.0077,8.160000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.2405,-0.3690,0.0077,8.200000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.1925,-0.3337,0.0069,8.240000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.1496,-0.2968,0.0060,8.280000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.1127,-0.2527,0.0053,8.320000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.0826,-0.2006,0.0048,8.360000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.0594,-0.1573,0.0041,8.400000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.0424,-0.0710,0.0030,8.440000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.0360,-0.0097,0.0026,8.480000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.0389,0.0577,0.0024,8.520000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.0510,0.1194,0.0023,8.560000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.0734,0.1993,0.0023,8.600000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.1028,0.2464,0.0023,8.640000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.1399,0.3060,0.0023,8.680000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.1852,0.3597,0.0023,8.720000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.2373,0.4008,0.0023,8.760000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.2947,0.4341,0.0022,8.800000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.3561,0.4491,0.0019,8.840000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.4206,0.4769,0.0019,8.880000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.4896,0.5122,0.0018,8.920000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.5629,0.5368,0.0016,8.960000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.6390,0.5503,0.0008,9.000000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.7161,0.5517,0.0007,9.040000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.7938,0.5608,0.0003,9.080000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737717,0.8733,0.5756,0.0001,9.120000,1,4,1.699999999971169e-05,2642470.5690348335
37.977351,23.737718,0.9541,0.5795,-0.0000,9.160000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977351,23.737718,1.0347,0.5724,-0.0001,9.200000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977350,23.737718,1.1134,0.5543,-0.0002,9.240000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977350,23.737718,1.1900,0.5425,-0.0013,9.280000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977350,23.737718,1.2640,0.5284,-0.0016,9.320000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977350,23.737718,1.3363,0.5205,-0.0016,9.360000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977350,23.737718,1.4076,0.5132,-0.0017,9.400000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977350,23.737718,1.4776,0.5033,-0.0017,9.440000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977350,23.737718,1.5462,0.4938,-0.0016,9.480000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977349,23.737718,1.6131,0.4350,-0.0009,9.520000,1,4,1.8000000000739647e-05,2642470.6803543246
37.977349,23.737719,1.6735,0.4043,-0.0008,9.560000,1,4,1.8999999998214893e-05,2642470.791673815
37.977349,23.737719,1.7293,0.3705,-0.0008,9.600000,1,4,1.8999999998214893e-05,2642470.791673815
37.977349,23.737719,1.7805,0.3406,-0.0008,9.640000,1,4,1.8999999998214893e-05,2642470.791673815
37.977349,23.737719,1.8274,0.3099,-0.0008,9.680000,1,4,1.8999999998214893e-05,2642470.791673815
37.977349,23.737719,1.8692,0.2709,-0.0008,9.720000,1,4,1.8999999998214893e-05,2642470.791673815
37.977348,23.737719,1.9046,0.2208,-0.0008,9.760000,1,4,1.8999999998214893e-05,2642470.791673815
37.977348,23.737719,1.9327,0.1694,-0.0007,9.800000,1,4,1.8999999998214893e-05,2642470.791673815
37.977348,23.737720,1.9539,0.1255,-0.0007,9.840000,1,4,1.9999999999242846e-05,2642470.902993306
37.977348,23.737720,1.9698,0.0950,-0.0006,9.880000,1,4,1.9999999999242846e-05,2642470.902993306
37.977348,23.737720,1.9822,0.0781,-0.0006,9.920000,1,4,1.9999999999242846e-05,2642470.902993306
37.977348,23.737720,1.9915,0.0501,-0.0005,9.960000,1,4,1.9999999999242846e-05,2642470.902993306
37.977347,23.737720,1.9959,0.0110,-0.0004,10.000000,1,4,1.9999999999242846e-05,2642470.902993306
37.977347,23.737720,1.9952,-0.0206,-0.0003,10.040000,1,4,1.9999999999242846e-05,2642470.902993306
37.977347,23.737720,1.9909,-0.0385,-0.0001,10.080000,1,4,1.9999999999242846e-05,2642470.902993306
